"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","D+E","Key","Loudness","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Label","Copyrights","Year","Song Duration (s)"
"spotify:track:3BKD1PwArikchz2Zrlp1qi","Baby Don't Hurt Me","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:1zNqDE7qDGCsyzJwohVaoX, spotify:artist:6AMd49uBDJfhf30Ak2QR5s","David Guetta, Anne-Marie, Coi Leray","spotify:album:327tc3Eruk1HP1w62iqROy","Baby Don't Hurt Me","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:1zNqDE7qDGCsyzJwohVaoX, spotify:artist:6AMd49uBDJfhf30Ak2QR5s","David Guetta, Anne-Marie, Coi Leray","4/6/2023","https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a",1,1,140017,"https://p.scdn.co/mp3-preview/a8f2e176e17e0f6298b42ef8e96118318fdd2b89?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,94,"UKWLG2300016","spotify:user:bradnumber1",2023-07-11 05:37:45,"big room,dance pop,edm,pop,pop dance,pop,new jersey underground rap,trap queen",0.602,0.91,1.512,7,-3.404,0.0308,0.00126,0.000174,0.12,0.228,127.944,4,"Parlophone UK","C Under license to Warner Music UK Limited, c 2023 What A DJ Ltd, P Under license to Warner Music UK Limited, ? 2023 What A DJ Ltd",2023,140.017
"spotify:track:4LRPiXqCikLlN15c3yImP7","As It Was","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:2pqdSWeJVsXAhHFuVLzuA8","As It Was","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","3/31/2022","https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14",1,1,167303,"https://p.scdn.co/mp3-preview/c43dd07043b29e800c1a65b3a0102861fa3cf418?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,93,"USSM12200612","spotify:user:bradnumber1",2022-04-05 08:06:34,"pop",0.52,0.731,1.251,6,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4,"Columbia","P (P) 2022 Erskine Records Limited, under exclusive license to Columbia Records, a Division of Sony Music Entertainment",2022,167.303
"spotify:track:1Y3LN4zO1Edc2EluIoSPJN","Until I Found You (with Em Beihold) - Em Beihold Version","spotify:artist:5XKFrudbV4IiuE5WuTPRmT, spotify:artist:7o2ZQYM7nTsaVdkXY38UAA","Stephen Sanchez, Em Beihold","spotify:album:7ARtQpvnPN2ucbmVHngLOs","Until I Found You (Em Beihold Version)","spotify:artist:5XKFrudbV4IiuE5WuTPRmT, spotify:artist:7o2ZQYM7nTsaVdkXY38UAA","Stephen Sanchez, Em Beihold","4/22/2022","https://i.scdn.co/image/ab67616d0000b2732bf0876d42b90a8852ad6244",1,1,176440,"https://p.scdn.co/mp3-preview/b3a1f2337811888fd2264a908987a60d4ad01774?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,93,"USUG12202266","spotify:user:bradnumber1",2023-02-14 22:36:02,"gen z singer-songwriter,alt z,gen z singer-songwriter",0.551,0.55,1.101,10,-5.339,0.0286,0.777,0,0.202,0.342,101.19,3,"Republic Records","C c 2022 Stephen Sanchez, under exclusive license to Mercury Records/Republic Records, a division of UMG Recordings, Inc., P ? 2022 Stephen Sanchez, under exclusive license to Mercury Records/Republic Records, a division of UMG Recordings, Inc.",2022,176.44
"spotify:track:3AJwUDP919kvQ9QcozQPxg","Yellow","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:6ZG5lRT77aJ3btmArcykra","Parachutes","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","7/10/2000","https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0",1,5,266773,"https://p.scdn.co/mp3-preview/c0d9119dc69cae75baf6463e21e43f433fdf5ff4?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,93,"GBAYE0000267","spotify:user:bradnumber1",2021-08-08 09:26:31,"permanent wave,pop",0.429,0.661,1.09,11,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,4,"Parlophone UK","C c 2000 Parlophone Records Ltd, a Warner Music Group Company, P ? 2000 Parlophone Records Ltd, a Warner Music Group Company",2000,266.773
"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","Blinding Lights","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:4yP0hdKOZPNshxUOjY0cZj","After Hours","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","3/20/2020","https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36",1,9,200040,"https://p.scdn.co/mp3-preview/51c08d92815cce4ac2de94a7335a430b81234624?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,93,"USUG11904206","spotify:user:bradnumber1",2021-08-08 09:26:31,"canadian contemporary r&b,canadian pop,pop",0.514,0.73,1.244,1,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4,"Republic Records","C c 2020 The Weeknd XO, Inc., marketed by Republic Records, a division of UMG Recordings, Inc., P ? 2020 The Weeknd XO, Inc., marketed by Republic Records, a division of UMG Recordings, Inc.",2020,200.04
"spotify:track:0ug5NqcwcFR2xrfTkc7k8e","Style","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:1yGbNOtRIgdIiGHOEBaZWf","1989 (Deluxe)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","1/1/2014","https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a",1,3,231000,"https://p.scdn.co/mp3-preview/5ed0bbbc40dda2bce0e008fe02949cd254f0ea69?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,92,"USCJY1431319","spotify:user:bradnumber1",2021-08-08 09:26:31,"pop",0.588,0.791,1.379,7,-5.595,0.0402,0.00245,0.00258,0.118,0.487,94.933,4,"Big Machine Records, LLC","C c 2014 Apollo A-1 LLC, P ? 2014 Apollo A-1 LLC",2014,231
"spotify:track:1dGr1c8CrMLDpV6mPbImSI","Lover","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:1NAmidJlEaVgA3MpcPFYGq","Lover","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","8/23/2019","https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647",1,3,221306,"https://p.scdn.co/mp3-preview/aad996e106de5278d8387dc838e8f08105dcd588?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,92,"USUG11901473","spotify:user:bradnumber1",2021-08-08 09:26:31,"pop",0.359,0.543,0.902,7,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4,"Taylor Swift","C c 2019 Taylor Swift, P ? 2019 Taylor Swift",2019,221.306
"spotify:track:1u8c2t2Cy7UBoG4ArRcF5g","Blank Space","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:1yGbNOtRIgdIiGHOEBaZWf","1989 (Deluxe)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","1/1/2014","https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a",1,2,231826,"https://p.scdn.co/mp3-preview/a4930adb3f973bf4b162940844b8ccc46277dc16?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,92,"USCJY1431309","spotify:user:bradnumber1",2021-08-08 09:26:31,"pop",0.76,0.703,1.463,5,-5.412,0.054,0.103,0,0.0913,0.57,95.997,4,"Big Machine Records, LLC","C c 2014 Apollo A-1 LLC, P ? 2014 Apollo A-1 LLC",2014,231.826
"spotify:track:1Lo0QY9cvc8sUB2vnIOxDT","Fast Car","spotify:artist:718COspgdWOnwOFpJHRZHS","Luke Combs","spotify:album:5Uly85dJHHDfHQCsyUQ8gw","Gettin' Old","spotify:artist:718COspgdWOnwOFpJHRZHS","Luke Combs","3/24/2023","https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1",1,14,265493,"https://p.scdn.co/mp3-preview/1dc0426c95058783e0fe1d70c41583ca98317108?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,92,"US6XF2200436","spotify:user:bradnumber1",2023-05-07 11:59:41,"contemporary country,country",0.712,0.603,1.315,8,-5.52,0.0262,0.186,0,0.115,0.67,97.994,4,"River House Artists/Columbia Nashville","P (P) 2023 River House Artists LLC, under exclusive license to Sony Music Entertainment. All rights reserved.",2023,265.493
"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Watermelon Sugar","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:7xV2TzoaVc0ycW7fwBwAml","Fine Line","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","12/13/2019","https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a",1,2,174000,"https://p.scdn.co/mp3-preview/824cd58da2e9a15eeaaa6746becc09093547a09b?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,92,"USSM11912587","spotify:user:bradnumber1",2021-08-08 09:26:31,"pop",0.548,0.816,1.364,0,-4.209,0.0465,0.122,0,0.335,0.557,95.39,4,"Columbia","P (P) 2019 Erskine Records Limited, under exclusive license to Columbia Records, a Division of Sony Music Entertainment",2019,174
