"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","D+E","Key","Loudness","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Label","Copyrights","Year","Artist_Genres","Decade"
"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Creepin' (with The Weeknd & 21 Savage)","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:1URnnhqYAYcrqrcwql10ft","Metro Boomin, The Weeknd, 21 Savage","spotify:album:7txGsnDSqVMoRl6RQ9XyZP","HEROES & VILLAINS","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin","12/2/2022","https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2",1,10,221520,"https://p.scdn.co/mp3-preview/adc5d059e4ccc40bbad75f3844eb03546d9ab05a?cid=9950ac751e34487dbbe027c4fd7f8e99",TRUE,95,"USUG12208791","spotify:user:bradnumber1",2023-05-07 12:00:09,"hip hop,rap,canadian contemporary r&b,canadian pop,pop,atl hip hop,hip hop,rap,trap",0.715,0.62,1.335,1,-6.005,0.0484,0.417,0,0.0822,0.172,97.95,4,"Republic Records","C c 2022 Boominati Worldwide, LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc., P ? 2022 Boominati Worldwide, LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc.",2022,"atl hip hop",NA
"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Creepin' (with The Weeknd & 21 Savage)","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:1URnnhqYAYcrqrcwql10ft","Metro Boomin, The Weeknd, 21 Savage","spotify:album:7txGsnDSqVMoRl6RQ9XyZP","HEROES & VILLAINS","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin","12/2/2022","https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2",1,10,221520,"https://p.scdn.co/mp3-preview/adc5d059e4ccc40bbad75f3844eb03546d9ab05a?cid=9950ac751e34487dbbe027c4fd7f8e99",TRUE,95,"USUG12208791","spotify:user:bradnumber1",2023-05-07 12:00:09,"hip hop,rap,canadian contemporary r&b,canadian pop,pop,atl hip hop,hip hop,rap,trap",0.715,0.62,1.335,1,-6.005,0.0484,0.417,0,0.0822,0.172,97.95,4,"Republic Records","C c 2022 Boominati Worldwide, LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc., P ? 2022 Boominati Worldwide, LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc.",2022,"hip hop",NA
"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Creepin' (with The Weeknd & 21 Savage)","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:1URnnhqYAYcrqrcwql10ft","Metro Boomin, The Weeknd, 21 Savage","spotify:album:7txGsnDSqVMoRl6RQ9XyZP","HEROES & VILLAINS","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin","12/2/2022","https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2",1,10,221520,"https://p.scdn.co/mp3-preview/adc5d059e4ccc40bbad75f3844eb03546d9ab05a?cid=9950ac751e34487dbbe027c4fd7f8e99",TRUE,95,"USUG12208791","spotify:user:bradnumber1",2023-05-07 12:00:09,"hip hop,rap,canadian contemporary r&b,canadian pop,pop,atl hip hop,hip hop,rap,trap",0.715,0.62,1.335,1,-6.005,0.0484,0.417,0,0.0822,0.172,97.95,4,"Republic Records","C c 2022 Boominati Worldwide, LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc., P ? 2022 Boominati Worldwide, LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc.",2022,"rap",NA
"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Creepin' (with The Weeknd & 21 Savage)","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:1URnnhqYAYcrqrcwql10ft","Metro Boomin, The Weeknd, 21 Savage","spotify:album:7txGsnDSqVMoRl6RQ9XyZP","HEROES & VILLAINS","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin","12/2/2022","https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2",1,10,221520,"https://p.scdn.co/mp3-preview/adc5d059e4ccc40bbad75f3844eb03546d9ab05a?cid=9950ac751e34487dbbe027c4fd7f8e99",TRUE,95,"USUG12208791","spotify:user:bradnumber1",2023-05-07 12:00:09,"hip hop,rap,canadian contemporary r&b,canadian pop,pop,atl hip hop,hip hop,rap,trap",0.715,0.62,1.335,1,-6.005,0.0484,0.417,0,0.0822,0.172,97.95,4,"Republic Records","C c 2022 Boominati Worldwide, LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc., P ? 2022 Boominati Worldwide, LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc.",2022,"trap",NA
"spotify:track:0V3wPSX9ygBnCm8psDIegu","Anti-Hero","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:151w1FgRZfnKZA9FEcg9Z3","Midnights","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","10/21/2022","https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5",1,3,200690,"https://p.scdn.co/mp3-preview/8587a38f3496e9b17e33d89c322c4b69ba899d69?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,95,"USUG12205736","spotify:user:bradnumber1",2022-11-02 00:25:27,"pop",0.637,0.643,1.28,4,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008,4,"Taylor Swift","C c 2022 Taylor Swift, P ? 2022 Taylor Swift",2022,"pop",NA
"spotify:track:1vYXt7VSjH9JIM5oRRo7vA","Dance The Night (From Barbie The Album)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:5cH7FqB7JD5q1tJXJ7FHYu","Dance The Night (From Barbie The Album)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","5/25/2023","https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192",1,1,176579,"https://p.scdn.co/mp3-preview/acaea048f50a3b30ca24b348c84a6047373baabb?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,95,"USAT22305457","spotify:user:bradnumber1",2023-05-28 04:12:13,"dance pop,pop,uk pop",0.671,0.845,1.516,11,-4.93,0.048,0.0207,0,0.329,0.775,110.056,4,"Atlantic Records","C c 2023 Atlantic Recording Corporation, Warner Bros. Entertainment, Inc. & Mattel, Inc., P ? 2023 Atlantic Recording Corporation, Warner Bros. Entertainment, Inc. & Mattel, Inc.",2023,"dance pop",NA
"spotify:track:1vYXt7VSjH9JIM5oRRo7vA","Dance The Night (From Barbie The Album)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:5cH7FqB7JD5q1tJXJ7FHYu","Dance The Night (From Barbie The Album)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","5/25/2023","https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192",1,1,176579,"https://p.scdn.co/mp3-preview/acaea048f50a3b30ca24b348c84a6047373baabb?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,95,"USAT22305457","spotify:user:bradnumber1",2023-05-28 04:12:13,"dance pop,pop,uk pop",0.671,0.845,1.516,11,-4.93,0.048,0.0207,0,0.329,0.775,110.056,4,"Atlantic Records","C c 2023 Atlantic Recording Corporation, Warner Bros. Entertainment, Inc. & Mattel, Inc., P ? 2023 Atlantic Recording Corporation, Warner Bros. Entertainment, Inc. & Mattel, Inc.",2023,"pop",NA
"spotify:track:1vYXt7VSjH9JIM5oRRo7vA","Dance The Night (From Barbie The Album)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:5cH7FqB7JD5q1tJXJ7FHYu","Dance The Night (From Barbie The Album)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","5/25/2023","https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192",1,1,176579,"https://p.scdn.co/mp3-preview/acaea048f50a3b30ca24b348c84a6047373baabb?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,95,"USAT22305457","spotify:user:bradnumber1",2023-05-28 04:12:13,"dance pop,pop,uk pop",0.671,0.845,1.516,11,-4.93,0.048,0.0207,0,0.329,0.775,110.056,4,"Atlantic Records","C c 2023 Atlantic Recording Corporation, Warner Bros. Entertainment, Inc. & Mattel, Inc., P ? 2023 Atlantic Recording Corporation, Warner Bros. Entertainment, Inc. & Mattel, Inc.",2023,"uk pop",NA
"spotify:track:4uUG5RXrOk84mYEfFvj3cK","I'm Good (Blue)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","David Guetta, Bebe Rexha","spotify:album:7M842DMhYVALrXsw3ty7B3","I'm Good (Blue)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","David Guetta, Bebe Rexha","8/26/2022","https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4",1,1,175238,"https://p.scdn.co/mp3-preview/c1de960c1a98f7ab652331e5223c50baba75c460?cid=9950ac751e34487dbbe027c4fd7f8e99",TRUE,95,"UKWLG2200055","spotify:user:bradnumber1",2022-08-31 00:29:21,"big room,dance pop,edm,pop,pop dance,dance pop,pop",0.561,0.965,1.526,7,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4,"Parlophone UK","C Under license to Warner Music UK Limited, c 2022 What A DJ Ltd, P Under license to Warner Music UK Limited, ? 2022 What A DJ Ltd",2022,"big room",NA
"spotify:track:4uUG5RXrOk84mYEfFvj3cK","I'm Good (Blue)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","David Guetta, Bebe Rexha","spotify:album:7M842DMhYVALrXsw3ty7B3","I'm Good (Blue)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","David Guetta, Bebe Rexha","8/26/2022","https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4",1,1,175238,"https://p.scdn.co/mp3-preview/c1de960c1a98f7ab652331e5223c50baba75c460?cid=9950ac751e34487dbbe027c4fd7f8e99",TRUE,95,"UKWLG2200055","spotify:user:bradnumber1",2022-08-31 00:29:21,"big room,dance pop,edm,pop,pop dance,dance pop,pop",0.561,0.965,1.526,7,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4,"Parlophone UK","C Under license to Warner Music UK Limited, c 2022 What A DJ Ltd, P Under license to Warner Music UK Limited, ? 2022 What A DJ Ltd",2022,"dance pop",NA
